ARO_id	n_samples	gene_label	broad_class	Resistance Mechanism
ARO:3004446	6	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	beta-lactam	antibiotic target alteration
ARO:3002660	5	APH(6)-Id	aminoglycoside	antibiotic inactivation
ARO:3004142	5	OprZ	beta-lactam	antibiotic efflux
ARO:3004144	5	AxyY	beta-lactam	antibiotic efflux
ARO:3005010	5	qacEdelta1	other	antibiotic efflux
ARO:3003001	5	cfxA	beta-lactam	
ARO:3002639	5	APH(3'')-Ib	aminoglycoside	antibiotic inactivation
ARO:3003953	5	hmrM	fluoroquinolone	antibiotic efflux
ARO:3000410	5	sul1	sulfonamide	antibiotic target replacement
ARO:3004143	5	AxyX	beta-lactam	antibiotic efflux
ARO:3000215	4	blaR1	beta-lactam	
ARO:3002983	4	amrB	aminoglycoside	antibiotic efflux
ARO:3004036	4	tetB(60)	tetracycline	
ARO:3002482	4	blaPEN-B	beta-lactam	
ARO:3000412	4	sul2	sulfonamide	antibiotic target replacement
ARO:3003479	4	tetR	tetracycline	antibiotic target alteration; antibiotic efflux
ARO:3002507	4	PDC-8	beta-lactam	antibiotic inactivation
ARO:3002641	3	APH(3')-Ia	aminoglycoside	antibiotic inactivation
ARO:3003052	3	smeB	beta-lactam	antibiotic efflux
ARO:3003051	3	smeA	beta-lactam	antibiotic efflux
ARO:3002570	3	AAC(6')-Iz	aminoglycoside	antibiotic inactivation
ARO:3000582	3	blaL1	beta-lactam	
ARO:3000250	3	ErmC	macrolide/MLSB	antibiotic target alteration
ARO:3002693	3	cmlA1	phenicol	antibiotic efflux
ARO:3002502	3	PDC-5	beta-lactam	antibiotic inactivation
ARO:3001796	3	OXA-50	beta-lactam	antibiotic inactivation
ARO:3002646	3	aph(3')-IIc	aminoglycoside	
ARO:3002659	3	aph(6)	aminoglycoside	
ARO:3003066	3	smeR	beta-lactam	antibiotic efflux
ARO:3004089	3	aadA1	aminoglycoside	
ARO:3000166	3	tet(B)	tetracycline	antibiotic efflux
ARO:3000413	2	sul3	sulfonamide	antibiotic target replacement
ARO:3000746	2	mepR	tetracycline	antibiotic efflux
ARO:3003645	2	OXA-488	beta-lactam	antibiotic inactivation
ARO:3000518	2	CRP	beta-lactam	antibiotic efflux
ARO:3000565	2	tet(38)	tetracycline	antibiotic efflux
ARO:3000190	2	tetO	tetracycline	antibiotic target protection
ARO:3000230	2	ANT(2'')-Ia	aminoglycoside	antibiotic inactivation
ARO:3000205	2	tet(X2)	tetracycline	
ARO:3000822	2	pmrA	fluoroquinolone	antibiotic efflux
ARO:3004572	2	Staphylococcus aureus LmrS	macrolide/MLSB	antibiotic efflux
ARO:3005052	2	LpsA	peptide	reduced permeability to antibiotic
ARO:3000026	2	mepA	tetracycline	antibiotic efflux
ARO:3005709	2	OXA-114i	beta-lactam	antibiotic inactivation
ARO:3006043	2	OXA-851	beta-lactam	antibiotic inactivation
ARO:3006093	2	OXA-905	beta-lactam	antibiotic inactivation
ARO:3006618	2	PDC-24	beta-lactam	antibiotic inactivation
ARO:3006709	2	PDC-34	beta-lactam	antibiotic inactivation
ARO:3003643	2	OXA-486	beta-lactam	antibiotic inactivation
ARO:3007014	2	qacC	other	
ARO:3001581	2	OXA-395	beta-lactam	antibiotic inactivation
ARO:3003067	2	smeS	beta-lactam	antibiotic efflux
ARO:3003010	2	ceoB	aminoglycoside	antibiotic efflux
ARO:3002982	2	amrA	aminoglycoside	antibiotic efflux
ARO:3003053	2	smeC	beta-lactam	antibiotic efflux
ARO:3002603	2	aadA3	aminoglycoside	antibiotic inactivation
ARO:3003056	2	smeE	macrolide/MLSB	antibiotic efflux
ARO:3003057	2	smeF	macrolide/MLSB	antibiotic efflux
ARO:3000838	2	arlR	fluoroquinolone	antibiotic efflux
ARO:3001301	2	RlmA(II)	macrolide/MLSB	antibiotic target alteration
ARO:3002683	2	catI	phenicol	antibiotic inactivation
ARO:3003511	2	Escherichia coli soxS with mutation conferring antibiotic resistance	beta-lactam	antibiotic target alteration; antibiotic efflux; reduced permeability to antibiotic
ARO:3002601	2	aadA	aminoglycoside	antibiotic inactivation
ARO:3002835	2	lnuA	macrolide/MLSB	antibiotic inactivation
ARO:3002647	2	APH(3')-IIIa	aminoglycoside	antibiotic inactivation
ARO:3004832	1	Neisseria gonorrhoeae PBP2 conferring resistance to beta-lactam antibiotics	beta-lactam	antibiotic target alteration
ARO:3002630	1	ANT(9)-Ia	aminoglycoside	antibiotic inactivation
ARO:3005036	1	bleO	other	
ARO:3002635	1	aph(2'')-IIa	aminoglycoside	
ARO:3004860	1	Burkholderia dolosa gyrA conferring resistance to fluoroquinolones	fluoroquinolone	antibiotic target alteration
ARO:3002642	1	APH(3')-Ib	aminoglycoside	antibiotic inactivation
ARO:3004657	1	catA4	phenicol	antibiotic inactivation
ARO:3004583	1	Klebsiella pneumoniae KpnF	beta-lactam	antibiotic efflux
ARO:3004659	1	Mef(En2)	macrolide/MLSB	antibiotic efflux
ARO:3004773	1	CKO-1	beta-lactam	antibiotic inactivation
ARO:3004611	1	Escherichia coli ampC1 beta-lactamase	beta-lactam	antibiotic inactivation
ARO:3004612	1	Escherichia coli ampH beta-lactamase	beta-lactam	antibiotic inactivation
